_Time,Message Type,Core,apn1I,MDN,IMEI,APN,IP,Download,Upload,Service,Rule,eNB,Sector,Sy Counter ID,Sy Value,Sy Result Code
6/8/2018 14:34:43,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn1,10.xx.xx.xx,20480000,20480000,service1,rule 1,XXXX,1,,,
6/8/2018 14:34:43,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn1,10.xx.xx.xx,20480000,20480000,service1,rule 2,XXXX,1,,,
6/8/2018 14:34:43,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xxx.xx,1048000,1048000,service2,rule 3,XXXX,1,,,
6/8/2018 14:34:43,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xxx.xx,1048000,1048000,service2,rule 4,XXXX,1,,,
6/8/2018 14:34:44,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn1,10.xx.xx.xx,20480000,20480000,service3,rule 5,XXXX,1,,,
6/8/2018 14:40:14,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xxx.xx,4096000,4096000,service4,rule 6,XXXX,1,,,
6/8/2018 14:40:14,SubscribeService,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,service4,,,,,,
6/8/2018 14:40:14,Sy_SLR_Initial,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,2001
6/8/2018 15:10:11,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xxx.xx,1048000,1048000,service2,rule 3,XXXX,1,,,
6/8/2018 15:10:11,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xxx.xx,1048000,1048000,service2,rule 4,XXXX,1,,,
